county,x,y
Anderson,36.11856,-84.19868
Bedford,35.5139,-86.45881
Benton,36.06977,-88.06831
Bledsoe,35.59644,-85.20523
Blount,35.68727,-83.92544
Bradley,35.15416,-84.85958
Campbell,36.40358,-84.1493
Cannon,35.8087,-86.06181
Carroll,35.97305,-88.45021
Carter,36.29282,-82.12748
Cheatham,36.26156,-87.08664
Chester,35.42157,-88.6137
Claiborne,36.48588,-83.66089
Clay,36.55119,-85.5437
Cocke,35.9255,-83.12122
Coffee,35.49059,-86.07485
Crockett,35.81308,-89.1395
Cumberland,35.95036,-84.9986
Davidson,36.16961,-86.78482
Decatur,35.60294,-88.10876
DeKalb,35.97991,-85.83288
Dickson,36.14897,-87.35646
Dyer,36.05873,-89.41609
Fayette,35.19705,-89.41439
Fentress,36.38056,-84.93232
Franklin,35.15491,-86.09257
Gibson,35.99666,-88.93264
Giles,35.20221,-87.0347
Grainger,36.2761,-83.50978
Greene,36.17536,-82.84579
Grundy,35.38813,-85.72334
Hamblen,36.21714,-83.26676
Hamilton,35.18094,-85.16475
Hancock,36.52345,-83.22231
Hardeman,35.20681,-88.99323
Hardin,35.19869,-88.18444
Hawkins,36.44114,-82.94473
Haywood,35.5829,-89.28413
Henderson,35.65421,-88.38804
Henry,36.33181,-88.30116
Hickman,35.80325,-87.47327
Houston,36.28591,-87.71733
Humphreys,36.04072,-87.77552
Jackson,36.35919,-85.67326
Jefferson,36.05098,-83.44617
Johnson,36.45505,-81.85176
Knox,35.99324,-83.93716
Lake,36.3352,-89.49367
Lauderdale,35.76045,-89.63128
Lawrence,35.21733,-87.39558
Lewis,35.52732,-87.49316
Lincoln,35.14058,-86.58888
Loudon,35.73527,-84.3112
McMinn,35.42497,-84.61739
McNairy,35.1755,-88.56359
Macon,36.53215,-86.00729
Madison,35.60807,-88.83849
Marion,35.12949,-85.6225
Marshall,35.46899,-86.765
Maury,35.617,-87.07703
Meigs,35.51272,-84.81345
Monroe,35.44285,-84.25289
Montgomery,36.49702,-87.38307
Moore,35.28469,-86.35866
Morgan,36.13508,-84.64889
Obion,36.35826,-89.14883
Overton,36.34491,-85.2881
Perry,35.64267,-87.85891
Pickett,36.55848,-85.07509
Polk,35.11992,-84.52327
Putnam,36.14081,-85.49525
Rhea,35.60869,-84.92449
Roane,35.84781,-84.52328
Robertson,36.52545,-86.8706
Rutherford,35.8429,-86.4167
Scott,36.42877,-84.50348
Sequatchie,35.37163,-85.41132
Sevier,35.78476,-83.52421
Shelby,35.18422,-89.89513
Smith,36.25111,-85.95675
Stewart,36.50092,-87.83861
Sullivan,36.51297,-82.30425
Sumner,36.46949,-86.46054
Tipton,35.49689,-89.75974
Trousdale,36.39197,-86.1582
Unicoi,36.11082,-82.43228
Union,36.2879,-83.83746
VanBuren,35.69603,-85.4525
Warren,35.67873,-85.7785
Washington,36.29331,-82.49737
Wayne,35.23986,-87.78803
Weakley,36.29828,-88.71763
White,35.92671,-85.45577
Williamson,35.89392,-86.89876
Wilson,36.15487,-86.29729
